DVY,1.82600008E10
LMT,Lockheed Martin Corp,4.1
CME,CME Group Inc/IL,3.51
CVX,Chevron Corp,2.51
OKE,ONEOK Inc,2.49
PM,Philip Morris International Inc,2.38
CAT,Caterpillar Inc,2.0
NEE,NextEra Energy Inc,1.97
MCD,McDonald's Corp,1.9
KMB,Kimberly-Clark Corp,1.88
PKG,Packaging Corp of America,1.85
STX,Seagate Technology PLC,1.73
DTE,DTE Energy Co,1.7
ETR,Entergy Corp,1.69
SRE,Sempra Energy,1.69
PACW,PacWest Bancorp,1.56
PCAR,PACCAR Inc,1.55
TUP,Tupperware Brands Corp,1.55
HP,Helmerich & Payne Inc,1.53
D,Dominion Resources Inc/VA,1.51
PNW,Pinnacle West Capital Corp,1.47
ETN,Eaton Corp PLC,1.43
OXY,Occidental Petroleum Corp,1.42
MCY,Mercury General Corp,1.37
MDP,Meredith Corp,1.37
MO,Altria Group Inc,1.36
GRMN,Garmin Ltd,1.34
GPC,Genuine Parts Co,1.31
LNT,Alliant Energy Corp,1.31
LLY,Eli Lilly & Co,1.19
SCG,SCANA Corp,1.18
IP,International Paper Co,1.17
AEP,American Electric Power Co Inc,1.16
EMR,Emerson Electric Co,1.14
BOH,Bank of Hawaii Corp,1.13
MRK,Merck & Co Inc,1.13
DRI,Darden Restaurants Inc,1.13
CINF,Cincinnati Financial Corp,1.12
IDA,IDACORP Inc,1.12
EIX,Edison International,1.09
WRK,WestRock Co,1.09
NUS,Nu Skin Enterprises Inc,1.09
T,AT&T Inc,1.07
PCG,PG&E Corp,1.06
AJG,Arthur J Gallagher & Co,1.05
WM,Waste Management Inc,1.04
WEC,WEC Energy Group Inc,1.02
BKH,Black Hills Corp,0.95
NWE,NorthWestern Corp,0.94
ES,Eversource Energy,0.92
GIS,General Mills Inc,0.89
OLN,Olin Corp,0.87
UFS,Domtar Corp,0.84
PEG,Public Service Enterprise Group Inc,0.82
CTL,CenturyLink Inc,0.81
SON,Sonoco Products Co,0.81
UBSI,United Bankshares Inc/WV,0.79
OGE,OGE Energy Corp,0.76
PPL,PPL Corp,0.76
BBT,BB&T Corp,0.75
XEL,Xcel Energy Inc,0.73
CNP,CenterPoint Energy Inc,0.72
SYY,Sysco Corp,0.72
CNK,Cinemark Holdings Inc,0.7
LEG,Leggett & Platt Inc,0.69
PFE,Pfizer Inc,0.69
AVA,Avista Corp,0.68
CMS,CMS Energy Corp,0.68
WDR,Waddell & Reed Financial Inc,0.67
KO,Coca-Cola Co,0.65
EXC,Exelon Corp,0.65
TRMK,Trustmark Corp,0.64
FE,FirstEnergy Corp,0.63
INTC,Intel Corp,0.59
COP,ConocoPhillips,0.58
MAT,Mattel Inc,0.58
NJR,New Jersey Resources Corp,0.52
HFC,HollyFrontier Corp,0.51
GXP,Great Plains Energy Inc,0.49
FII,Federated Investors Inc,0.48
HUN,Huntsman Corp,0.47
GE,General Electric Co,0.45
ORI,Old Republic International Corp,0.42
PBCT,People's United Financial Inc,0.4
NI,NiSource Inc,0.32
NYCB,New York Community Bancorp Inc,0.31
CMC,Commercial Metals Co,0.29
FNB,FNB Corp/PA,0.28
VLY,Valley National Bancorp,0.28
PBI,Pitney Bowes Inc,0.25
GES,Guess? Inc,0.24
SPLS,Staples Inc,0.21
RRD,RR Donnelley & Sons Co,0.15
