QDF,2.04E9
WFC,Wells Fargo & Co,3.54
PG,Procter & Gamble Co,3.44
PFE,Pfizer Inc,3.25
MRK,Merck & Co Inc,3.07
PM,Philip Morris International Inc,2.86
GE,General Electric Co,2.78
AAPL,Apple Inc,2.75
MMM,3M Co,2.35
BA,Boeing Co,2.34
WMT,Wal-Mart Stores Inc,2.19
MO,Altria Group Inc,2.06
TXN,Texas Instruments Inc,1.71
HD,Home Depot Inc,1.61
XOM,Exxon Mobil Corp,1.57
T,AT&T Inc,1.49
UNH,UnitedHealth Group Inc,1.44
LMT,Lockheed Martin Corp,1.27
JNJ,Johnson & Johnson,1.27
UPS,United Parcel Service Inc,1.26
JPM,JPMorgan Chase & Co,1.21
IBM,International Business Machines Corp,1.2
CSCO,Cisco Systems Inc,1.18
CVX,Chevron Corp,1.17
VZ,Verizon Communications Inc,1.06
PRU,Prudential Financial Inc,0.99
EMR,Emerson Electric Co,0.85
PFG,Principal Financial Group Inc,0.81
CXW,Corrections Corp of America,0.78
AMAT,Applied Materials Inc,0.78
VLO,Valero Energy Corp,0.78
HCN,Health Care REIT Inc,0.77
OXY,Occidental Petroleum Corp,0.74
HPQ,Hewlett-Packard Co,0.74
LPLA,LPL Financial Holdings Inc,0.71
STX,Seagate Technology PLC,0.7
BBY,Best Buy Co Inc,0.66
ETR,Entergy Corp,0.66
SYMC,Symantec Corp,0.65
TEL,TE Connectivity Ltd,0.65
VVC,Vectren Corp,0.64
JCOM,j2 Global Inc,0.63
AFL,Aflac Inc,0.62
CAH,Cardinal Health Inc,0.62
KLAC,KLA-Tencor Corp,0.61
GXP,Great Plains Energy Inc,0.61
JBL,Jabil Circuit Inc,0.6
WSM,Williams-Sonoma Inc,0.6
OII,Oceaneering International Inc,0.59
DRI,Darden Restaurants Inc,0.58
NUE,Nucor Corp,0.58
AMP,Ameriprise Financial Inc,0.58
JKHY,Jack Henry & Associates Inc,0.58
TUP,Tupperware Brands Corp,0.58
ALE,ALLETE Inc,0.57
LAMR,Lamar Advertising Co,0.57
DUK,Duke Energy Corp,0.56
HP,Helmerich & Payne Inc,0.56
BAC,Bank of America Corp,0.56
VR,Validus Holdings Ltd,0.56
NLSN,Nielsen NV,0.55
CIM,Chimera Investment Corp,0.54
OKE,ONEOK Inc,0.53
HST,Host Hotels & Resorts Inc,0.53
GPS,Gap Inc,0.53
OGE,OGE Energy Corp,0.53
AEO,American Eagle Outfitters Inc,0.53
DST,DST Systems Inc,0.53
KSS,Kohl's Corp,0.52
QCOM,QUALCOMM Inc,0.52
PDCO,Patterson Cos Inc,0.51
XRX,Xerox Corp,0.51
PPL,PPL Corp,0.51
HSNI,HSN Inc,0.5
CSC,Computer Sciences Corp,0.5
RLJ,RLJ Lodging Trust,0.5
RHP,Ryman Hospitality Properties Inc,0.49
GME,GameStop Corp,0.49
NTAP,NetApp Inc,0.49
SHO,Sunstone Hotel Investors Inc,0.49
FICO,Fair Isaac Corp,0.48
ERIE,Erie Indemnity Co,0.48
SPLS,Staples Inc,0.48
NAVI,Navient Corp,0.48
MXIM,Maxim Integrated Products Inc,0.48
MDU,MDU Resources Group Inc,0.47
SAIC,Science Applications International Corp,0.47
EV,Eaton Vance Corp,0.47
JWN,Nordstrom Inc,0.46
HE,Hawaiian Electric Industries Inc,0.46
UNIT,UNITI GROUP INC UNIT,0.45
CNP,CenterPoint Energy Inc,0.45
SON,Sonoco Products Co,0.45
M,Macy's Inc,0.45
CA,CA Inc,0.43
GEF.B,Greif Inc,0.42
PKG,Packaging Corp of America,0.42
OSG,OVERSEAS SHIPHOLDING GROUP-A OSG,0.42
WPC,WP Carey Inc,0.41
WU,Western Union Co,0.4
TROW,T Rowe Price Group Inc,0.39
TGT,Target Corp,0.39
RPAI,Retail Properties of America Inc,0.37
TWO,Two Harbors Investment Corp,0.33
AFSI,AmTrust Financial Services Inc,0.32
ATVI,Activision Blizzard Inc,0.3
PEP,PepsiCo Inc,0.29
DIS,Walt Disney Co,0.28
C,Citigroup Inc,0.28
PAYX,Paychex Inc,0.27
ETN,Eaton Corp PLC,0.27
AMGN,Amgen Inc,0.26
OHI,Omega Healthcare Investors Inc,0.25
KO,Coca-Cola Co,0.25
CTL,CenturyLink Inc,0.25
AEE,Ameren Corp,0.24
CMI,Cummins Inc,0.24
HRB,H&R Block Inc,0.24
V,Visa Inc,0.24
HPT,Hospitality Properties Trust,0.23
FII,Federated Investors Inc,0.23
OMI,Owens & Minor Inc,0.22
PBI,Pitney Bowes Inc,0.21
MCD,McDonald's Corp,0.21
DTE,DTE Energy Co,0.19
SNH,Senior Housing Properties Trust,0.18
HFC,HollyFrontier Corp,0.18
LHO,LaSalle Hotel Properties,0.18
RRD,RR Donnelley & Sons Co,0.17
MAT,Mattel Inc,0.17
CVG,Convergys Corp,0.16
MFA,MFA Financial Inc,0.16
GRMN,Garmin Ltd,0.12
FTR,Frontier Communications Corp,0.11
LXP,Lexington Realty Trust,0.1
FAF,First American Financial Corp,0.09
SNI,Scripps Networks Interactive Inc,0.04
SIR,Select Income REIT,0.02
