VOE,8.8100004E9
NWL,Newell Rubbermaid Inc,1.25
WDC,Western Digital Corp,1.25
MTB,M&T Bank Corp,1.25
FCX,Freeport-McMoRan Inc,1.12
KEY,KeyCorp,1.07
NEM,Newmont Mining Corp,1.06
WEC,WEC Energy Group Inc,1.02
CFG,Citizens Financial Group Inc,1.02
HIG,Hartford Financial Services Group Inc,1.01
RF,Regions Financial Corp,0.97
DTE,DTE Energy Co,0.97
ES,Eversource Energy,0.96
SYMC,Symantec Corp,0.94
CAG,ConAgra Foods Inc,0.94
TAP,Molson Coors Brewing Co,0.92
DPS,Dr Pepper Snapple Group Inc,0.92
PFG,Principal Financial Group Inc,0.9
WLTW,WILLIS TOWERS WA,0.89
RCL,Royal Caribbean Cruises Ltd,0.88
CLX,Clorox Co,0.85
LNC,Lincoln National Corp,0.85
SJM,JM Smucker Co,0.82
HBAN,Huntington Bancshares Inc/OH,0.8
NLSN,Nielsen NV,0.8
NOV,National Oilwell Varco Inc,0.78
MRO,Marathon Oil Corp,0.78
DVMT,DELL TECH-CL V,0.77
LH,Laboratory Corp of America Holdings,0.76
GPC,Genuine Parts Co,0.75
WRK,WestRock Co,0.73
MSI,Motorola Solutions Inc,0.73
HST,Host Hotels & Resorts Inc,0.73
BLL,Ball Corp,0.73
STX,Seagate Technology PLC,0.73
WHR,Whirlpool Corp,0.72
AWK,American Water Works Co Inc,0.72
HSIC,Henry Schein Inc,0.7
ETR,Entergy Corp,0.7
AEE,Ameren Corp,0.7
HRS,Harris Corp,0.7
DGX,Quest Diagnostics Inc,0.7
MXIM,Maxim Integrated Products Inc,0.69
MKL,Markel Corp,0.67
CE,Celanese Corp,0.66
DOV,Dover Corp,0.66
BBY,Best Buy Co Inc,0.66
COL,Rockwell Collins Inc,0.65
IVZ,Invesco Ltd,0.65
CMS,CMS Energy Corp,0.65
CMA,Comerica Inc,0.64
OKE,ONEOK Inc,0.63
TXT,Textron Inc,0.63
DVN,Devon Energy Corp,0.62
HOLX,Hologic Inc,0.62
CINF,Cincinnati Financial Corp,0.6
LLL,L-3 Communications Holdings Inc,0.6
SLG,SL Green Realty Corp,0.6
MOS,Mosaic Co,0.6
EMN,Eastman Chemical Co,0.59
DHI,DR Horton Inc,0.59
CNP,CenterPoint Energy Inc,0.59
NTAP,NetApp Inc,0.58
UNM,Unum Group,0.58
COH,Coach Inc,0.57
ALB,Albemarle Corp,0.57
NLY,Annaly Capital Management Inc,0.57
PRGO,Perrigo Co PLC,0.57
ACGL,Arch Capital Group Ltd,0.56
XL,XL Group PLC,0.55
UHS,Universal Health Services Inc,0.55
HOG,Harley-Davidson Inc,0.55
KIM,Kimco Realty Corp,0.55
ARNC,ARCONIC INC,0.55
LEA,Lear Corp,0.55
JNPR,Juniper Networks Inc,0.53
UAL,United Continental Holdings Inc,0.53
BG,Bunge Ltd,0.53
WFM,Whole Foods Market Inc,0.53
PNR,Pentair PLC,0.52
RJF,Raymond James Financial Inc,0.52
SNPS,Synopsys Inc,0.52
WU,Western Union Co,0.52
DLPH,Delphi Automotive PLC,0.52
ALLY,Ally Financial Inc,0.52
TSO,Tesoro Corp,0.52
SEE,Sealed Air Corp,0.51
MAC,Macerich Co,0.51
IPG,Interpublic Group of Cos Inc,0.51
UDR,UDR Inc,0.51
HAS,Hasbro Inc,0.51
FNF,FNF Group,0.5
FL,Foot Locker Inc,0.5
M,Macy's Inc,0.5
TSN,Tyson Foods Inc,0.5
DRI,Darden Restaurants Inc,0.49
IRM,Iron Mountain Inc,0.49
MAT,Mattel Inc,0.49
XYL,Xylem Inc/NY,0.48
SCG,SCANA Corp,0.48
BWA,BorgWarner Inc,0.47
PNW,Pinnacle West Capital Corp,0.47
DRE,Duke Realty Corp,0.47
COTY,Coty Inc,0.47
ZION,Zions Bancorporation,0.47
LNT,Alliant Energy Corp,0.47
IFF,International Flavors & Fragrances Inc,0.46
CIT,CIT Group Inc,0.45
TMK,Torchmark Corp,0.45
ARMK,Aramark,0.45
WYNN,Wynn Resorts Ltd,0.45
CF,CF Industries Holdings Inc,0.45
NDAQ,NASDAQ OMX Group Inc,0.44
FMC,FMC Corp,0.44
RGA,Reinsurance Group of America Inc,0.44
QVCA,Liberty Interactive Corp QVC Group,0.43
VOYA,Voya Financial Inc,0.43
FLR,Fluor Corp,0.42
LUK,Leucadia National Corp,0.42
CCK,Crown Holdings Inc,0.41
AES,AES Corp/VA,0.41
PVH,PVH Corp,0.41
ASH,Ashland Inc,0.4
XLNX,Xilinx Inc,0.4
HP,Helmerich & Payne Inc,0.4
CPT,Camden Property Trust,0.4
FRC,First Republic Bank/CA,0.39
NI,NiSource Inc,0.39
ABC,AmerisourceBergen Corp,0.39
KSS,Kohl's Corp,0.39
JEC,Jacobs Engineering Group Inc,0.38
NYCB,New York Community Bancorp Inc,0.38
HUBB,HUBBELL INC,0.37
RE,Everest Re Group Ltd,0.37
OGE,OGE Energy Corp,0.36
KLAC,KLA-Tencor Corp,0.36
ARW,Arrow Electronics Inc,0.36
AVY,Avery Dennison Corp,0.35
XEC,Cimarex Energy Co,0.35
FLS,Flowserve Corp,0.35
PHM,PulteGroup Inc,0.35
MAN,ManpowerGroup Inc,0.35
LSXMK,LIBERTY MEDIA-C,0.35
MU,Micron Technology Inc,0.34
OC,Owens Corning,0.34
AGNC,American Capital Agency Corp,0.34
WRB,WR Berkley Corp,0.33
SPLS,Staples Inc,0.32
XRX,Xerox Corp,0.32
AVT,Avnet Inc,0.32
PBCT,People's United Financial Inc,0.32
BBBY,Bed Bath & Beyond Inc,0.32
MRVL,Marvell Technology Group Ltd,0.31
AXS,Axis Capital Holdings Ltd,0.31
LAZ,Lazard Ltd,0.3
RS,Reliance Steel & Aluminum Co,0.3
JWN,Nordstrom Inc,0.29
URI,United Rentals Inc,0.29
MNK,Mallinckrodt PLC,0.28
ALSN,Allison Transmission Holdings Inc,0.28
HFC,HollyFrontier Corp,0.28
GPS,Gap Inc,0.27
GRMN,Garmin Ltd,0.27
RL,Ralph Lauren Corp,0.27
TIF,Tiffany & Co,0.27
GRA,WR Grace & Co,0.26
HRB,H&R Block Inc,0.25
JLL,Jones Lang LaSalle Inc,0.25
INGR,Ingredion Inc,0.25
EPC,Edgewell Personal Care Co,0.25
Y,Alleghany Corp,0.24
CSC,Computer Sciences Corp,0.24
GT,Goodyear Tire & Rubber Co,0.23
AA,Alcoa Inc,0.18
LSXMA,LIBERTY MEDIA- A,0.17
RAD,Rite Aid Corp,0.16
AIZ,Assurant Inc,0.15
LW,LAMB WESTON,0.15
EGN,Energen Corp,0.14
WFT,Weatherford International PLC,0.14
FLIR,FLIR Systems Inc,0.13
AGR,AVANGRID INC,0.13
WLK,Westlake Chemical Corp,0.13
MUR,Murphy Oil Corp,0.13
NUAN,Nuance Communications Inc,0.12
NAVI,Navient Corp,0.12
CLR,Continental Resources Inc/OK,0.12
DISCA,Discovery Communications Inc,0.11
CPN,Calpine Corp,0.11
FTR,Frontier Communications Corp,0.11
WSM,Williams-Sonoma Inc,0.1
AN,AutoNation Inc,0.1
PDCO,Patterson Cos Inc,0.09
CNDT,CONDUENT INC,0.07
ATH,ATHENE HOLDING-A,0.06
LBRDA,Liberty Broadband Corp,0.05
PPC,Pilgrim's Pride Corp,0.05
SC,Santander Consumer USA Holdings Inc,0.03
FTI,FMC Technologies Inc,0.03
LEN.B,Lennar Corp,0.01
NWS,News Corp,0.01
MAA,Mid-America Apartment Communities Inc,0.0
ENDP,ENDO INTERNATION,0.0
