XLRE,2.30999987E9
SPG,Simon Property Group Inc,9.3
AMT,American Tower Corp,8.54
PSA,Public Storage,5.79
CCI,Crown Castle International Corp,5.64
EQIX,Equinix Inc,4.77
PLD,Prologis Inc,4.66
WY,Weyerhaeuser Co,4.41
AVB,AvalonBay Communities Inc,4.39
HCN,Health Care REIT Inc,4.24
EQR,Equity Residential,4.03
VTR,Ventas Inc,3.71
BXP,Boston Properties Inc,3.56
VNO,Vornado Realty Trust,3.13
DLR,Digital Realty Trust Inc,2.89
O,Realty Income Corp,2.66
ESS,Essex Property Trust Inc,2.64
HCP,HCP Inc,2.44
GGP,General Growth Properties Inc,2.4
HST,Host Hotels & Resorts Inc,2.36
MAA,Mid-America Apartment Communities Inc,1.99
SLG,SL Green Realty Corp,1.91
CBG,CBRE Group Inc,1.87
REG,Regency Centers Corp,1.69
KIM,Kimco Realty Corp,1.68
UDR,UDR Inc,1.67
FRT,Federal Realty Investment Trust,1.66
EXR,Extra Space Storage Inc,1.65
IRM,Iron Mountain Inc,1.47
MAC,Macerich Co,1.36
AIV,Apartment Investment & Management Co,1.21
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.12
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
